Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Predicted_RF,Attrition_Probability_RF
30,0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,1,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,0,13,3,1,3,10,4,2,10,7,8,9,0,0.11
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,1,48,3,2,Sales Executive,2,Married,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,0.06
34,0,Travel_Frequently,829,Research & Development,15,3,Medical,2,1,71,3,4,Research Director,1,Divorced,17007,11929,7,0,14,3,4,2,16,3,2,14,8,6,9,0,0.06
53,0,Non-Travel,661,Research & Development,1,4,Medical,1,0,60,2,4,Manufacturing Director,3,Married,12965,22308,4,1,20,4,4,3,27,2,2,3,2,0,2,0,0.09
24,0,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,0,32,3,1,Research Scientist,4,Single,3760,17218,1,1,13,3,3,0,6,2,3,6,3,1,3,0,0.29
27,0,Travel_Rarely,511,Sales,2,2,Medical,1,0,89,4,2,Sales Executive,3,Single,6500,26997,0,0,14,3,2,0,9,5,2,8,7,0,7,0,0.08
53,0,Travel_Rarely,447,Research & Development,2,3,Medical,4,1,39,4,4,Research Director,2,Single,16598,19764,4,0,12,3,2,0,35,2,2,9,8,8,8,0,0.11
43,0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,3,1,96,1,5,Research Director,4,Married,19740,18625,3,0,14,3,2,1,25,2,3,8,7,0,7,0,0.02
28,0,Travel_Frequently,783,Sales,1,2,Life Sciences,3,1,42,2,2,Sales Executive,4,Married,6834,19255,1,1,12,3,3,1,7,2,3,7,7,0,7,0,0.08
36,0,Travel_Rarely,1041,Human Resources,13,3,Human Resources,3,1,36,3,1,Human Resources,2,Married,2143,25527,4,0,13,3,2,1,8,2,3,5,2,0,4,0,0.19
20,1,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,84,3,1,Laboratory Technician,1,Single,2973,13008,1,0,19,3,2,0,1,2,3,1,0,0,0,1,0.54
28,0,Travel_Frequently,193,Research & Development,2,3,Life Sciences,4,1,52,2,1,Laboratory Technician,4,Married,3867,14222,1,1,12,3,2,1,2,2,3,2,2,2,2,0,0.25
40,0,Non-Travel,218,Research & Development,8,1,Medical,4,1,55,2,3,Research Director,2,Divorced,13757,25178,2,0,11,3,3,1,16,5,3,9,8,4,8,0,0.03
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,1,36,4,1,Laboratory Technician,4,Married,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0,0.3
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,1,92,2,1,Laboratory Technician,3,Single,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0,0.38
28,0,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1,67,2,1,Research Scientist,2,Married,3201,19911,0,0,17,3,1,0,6,2,1,5,3,0,4,0,0.13
32,1,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,1,62,2,1,Laboratory Technician,3,Single,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,0,0.24
30,0,Travel_Rarely,1092,Research & Development,10,3,Medical,1,0,64,3,3,Manufacturing Director,3,Single,9667,2739,9,0,14,3,2,0,9,3,3,7,7,0,2,0,0.16
26,0,Travel_Rarely,703,Sales,28,2,Marketing,1,1,66,3,2,Sales Executive,2,Married,6272,7428,1,0,20,4,4,2,6,5,4,5,3,1,4,0,0.1
29,0,Travel_Frequently,1404,Sales,20,3,Technical Degree,3,0,84,3,1,Sales Representative,4,Married,2157,18203,1,0,15,3,2,1,3,5,3,3,1,0,2,0,0.24
44,0,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,3,1,92,4,5,Manager,1,Divorced,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13,0,0.03
56,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,0,72,3,1,Research Scientist,2,Married,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,0,0.16
29,0,Travel_Rarely,657,Research & Development,27,3,Medical,2,0,66,3,2,Healthcare Representative,3,Married,4335,25549,4,0,12,3,1,1,11,3,2,8,7,1,1,0,0.12
48,0,Travel_Rarely,969,Research & Development,2,2,Technical Degree,4,1,76,4,1,Laboratory Technician,2,Single,2559,16620,5,0,11,3,3,0,7,4,2,1,0,0,0,0,0.22
49,0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,3,0,84,3,1,Laboratory Technician,1,Married,3211,22102,1,0,14,3,4,1,10,3,2,9,6,1,4,0,0.1
35,0,Non-Travel,1180,Research & Development,2,2,Medical,2,1,90,3,2,Manufacturing Director,4,Divorced,5762,24442,2,0,14,3,3,1,15,6,3,7,7,1,7,0,0.0
31,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,1,42,2,1,Research Scientist,2,Single,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,0,0.32
46,0,Travel_Rarely,563,Sales,1,4,Life Sciences,4,1,56,4,4,Manager,1,Single,17567,3156,1,0,15,3,2,0,27,5,1,26,0,0,12,0,0.2
36,0,Travel_Rarely,559,Research & Development,12,4,Life Sciences,3,0,76,3,2,Manufacturing Director,3,Married,4663,12421,9,1,12,3,2,2,7,2,3,3,2,1,1,0,0.14
28,0,Travel_Rarely,995,Research & Development,9,3,Medical,3,0,77,3,1,Research Scientist,3,Divorced,2377,9834,5,0,18,3,2,1,6,2,3,2,2,2,2,0,0.11
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,1,95,2,2,Manufacturing Director,2,Single,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,0.12
24,0,Non-Travel,673,Research & Development,11,2,Other,1,0,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0,0.05
38,0,Travel_Frequently,471,Research & Development,12,3,Life Sciences,1,1,45,2,2,Healthcare Representative,1,Divorced,6288,4284,2,0,15,3,3,1,13,3,2,4,3,1,2,0,0.08
24,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,1,89,4,1,Research Scientist,4,Married,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,0,0.19
29,0,Travel_Rarely,590,Research & Development,4,3,Technical Degree,4,0,91,2,1,Research Scientist,1,Divorced,2109,10007,1,0,13,3,3,1,1,2,3,1,0,0,0,0,0.31
45,0,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,4,0,48,2,4,Research Director,2,Single,16704,17119,1,0,11,3,3,0,21,2,3,21,6,8,6,0,0.01
38,0,Travel_Frequently,693,Research & Development,7,3,Life Sciences,4,1,57,4,1,Research Scientist,3,Divorced,2610,15748,1,0,11,3,4,3,4,2,3,4,2,0,3,0,0.06
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,84,4,1,Laboratory Technician,2,Married,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,0.07
44,0,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,0,72,4,1,Research Scientist,4,Married,2011,19982,1,0,13,3,4,1,10,5,3,10,5,7,7,0,0.05
35,1,Travel_Frequently,880,Sales,12,4,Other,4,1,36,3,2,Sales Executive,4,Single,4581,10414,3,1,24,4,1,0,13,2,4,11,9,6,7,0,0.26
25,0,Travel_Rarely,583,Sales,4,1,Marketing,3,1,87,2,2,Sales Executive,1,Married,4256,18154,1,0,12,3,1,0,5,1,4,5,2,0,3,0,0.19
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,1,73,3,1,Research Scientist,2,Married,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0,0.27
42,0,Non-Travel,179,Human Resources,2,5,Medical,4,1,79,4,2,Human Resources,1,Married,6272,12858,7,0,16,3,1,1,10,3,4,4,3,0,3,0,0.06
35,1,Travel_Frequently,662,Sales,18,4,Marketing,4,0,67,3,2,Sales Executive,3,Married,4614,23288,0,1,18,3,3,1,5,0,2,4,2,3,2,0,0.16
49,0,Travel_Rarely,174,Sales,8,4,Technical Degree,4,1,56,2,4,Sales Executive,2,Married,13120,11879,6,0,17,3,2,1,22,3,3,9,8,2,3,0,0.19
34,0,Travel_Rarely,943,Research & Development,9,3,Life Sciences,4,1,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,0,11,3,4,1,10,0,2,9,7,1,6,0,0.04
35,0,Travel_Rarely,819,Research & Development,18,5,Life Sciences,2,1,48,4,2,Research Scientist,1,Married,5208,26312,1,0,11,3,4,0,16,2,3,16,15,1,10,0,0.09
54,0,Travel_Rarely,1082,Sales,2,4,Life Sciences,3,0,41,2,3,Sales Executive,3,Married,10686,8392,6,0,11,3,2,1,13,4,3,9,4,7,0,0,0.1
31,1,Travel_Rarely,330,Research & Development,22,4,Medical,4,1,98,3,2,Manufacturing Director,3,Married,6179,21057,1,1,15,3,4,2,10,3,2,10,2,6,7,0,0.08
54,0,Travel_Rarely,157,Research & Development,10,3,Medical,3,0,77,3,2,Manufacturing Director,1,Single,4440,25198,6,1,19,3,4,0,9,3,3,5,2,1,4,0,0.11
55,0,Travel_Rarely,685,Sales,26,5,Marketing,3,1,60,2,5,Manager,4,Married,19586,23037,1,0,21,4,3,1,36,3,3,36,6,2,13,0,0.07
44,0,Travel_Rarely,170,Research & Development,1,4,Life Sciences,2,1,78,4,2,Healthcare Representative,1,Married,5033,9364,2,0,15,3,4,1,10,5,3,2,0,2,2,0,0.04
30,0,Travel_Rarely,946,Research & Development,2,3,Medical,3,0,52,2,2,Manufacturing Director,4,Single,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,0,0.26
32,0,Travel_Rarely,529,Research & Development,2,3,Technical Degree,4,1,78,3,1,Research Scientist,1,Single,2439,11288,1,0,14,3,4,0,4,4,3,4,2,1,2,0,0.04
27,0,Travel_Rarely,1302,Research & Development,19,3,Other,4,1,67,2,1,Laboratory Technician,1,Divorced,4066,16290,1,0,11,3,1,2,7,3,3,7,7,0,7,0,0.09
41,0,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,1,91,2,4,Manager,1,Divorced,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0,0.02
44,1,Travel_Rarely,621,Research & Development,15,3,Medical,1,0,73,3,3,Healthcare Representative,4,Married,7978,14075,1,0,11,3,4,1,10,2,3,10,7,0,5,0,0.1
29,1,Travel_Rarely,906,Research & Development,10,3,Life Sciences,4,0,92,2,1,Research Scientist,1,Single,2404,11479,6,1,20,4,3,0,3,5,3,0,0,0,0,1,0.6
26,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,1,73,3,1,Research Scientist,1,Single,3102,6582,0,0,22,4,3,0,7,2,3,6,4,0,4,0,0.14
31,0,Travel_Rarely,1276,Research & Development,2,1,Medical,4,0,59,1,1,Laboratory Technician,4,Divorced,1129,17536,1,1,11,3,3,3,1,4,3,1,0,0,0,0,0.48
31,0,Travel_Frequently,793,Sales,20,3,Life Sciences,3,1,67,4,1,Sales Representative,4,Married,2791,21981,0,0,12,3,1,1,3,4,3,2,2,2,2,0,0.19
35,0,Travel_Frequently,146,Research & Development,2,4,Medical,1,1,79,2,1,Research Scientist,4,Single,4930,13970,0,1,14,3,3,0,6,2,4,5,4,1,4,0,0.17
25,1,Travel_Frequently,599,Sales,24,1,Life Sciences,3,1,73,1,1,Sales Representative,4,Single,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0,1,0.75
36,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,0,92,3,3,Sales Executive,4,Married,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0,0.15
24,0,Travel_Rarely,1206,Research & Development,17,1,Medical,4,0,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2,0,0.04
38,0,Travel_Rarely,1404,Sales,1,3,Life Sciences,1,1,59,2,1,Sales Representative,1,Single,2858,11473,4,0,14,3,1,0,20,3,2,1,0,0,0,0,0.39
56,0,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,0,90,3,1,Research Scientist,1,Married,2066,10494,2,0,22,4,4,1,5,3,4,3,2,1,0,0,0.15
55,0,Travel_Rarely,836,Research & Development,2,4,Technical Degree,2,1,98,2,1,Research Scientist,4,Married,2662,7975,8,0,20,4,2,1,19,2,4,5,2,0,4,0,0.09
27,0,Travel_Rarely,618,Research & Development,4,3,Life Sciences,2,0,76,3,1,Research Scientist,3,Single,2318,17808,1,0,19,3,3,0,1,2,3,1,1,0,0,0,0.5
42,0,Travel_Rarely,188,Research & Development,29,3,Medical,2,1,56,1,2,Laboratory Technician,4,Single,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0,0,0.23
38,0,Travel_Rarely,268,Research & Development,2,5,Medical,4,1,92,3,1,Research Scientist,3,Married,3057,20471,6,1,13,3,2,1,6,0,1,1,0,0,1,0,0.17
30,0,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,0,48,2,2,Laboratory Technician,4,Married,4627,23631,0,0,12,3,1,1,10,6,3,9,2,6,7,0,0.08
29,1,Travel_Rarely,341,Sales,1,3,Medical,2,0,48,2,1,Sales Representative,3,Divorced,2800,23522,6,1,19,3,3,3,5,3,3,3,2,0,2,0,0.27
35,1,Travel_Rarely,303,Sales,27,3,Life Sciences,3,1,84,3,2,Sales Executive,4,Single,5813,13492,1,1,18,3,4,0,10,2,3,10,7,7,7,0,0.22
37,0,Travel_Rarely,228,Sales,6,4,Medical,3,1,98,3,2,Sales Executive,4,Married,6502,22825,4,0,14,3,2,1,7,5,4,5,4,0,1,0,0.12
29,0,Travel_Rarely,1082,Research & Development,9,4,Medical,4,0,43,3,1,Laboratory Technician,3,Married,2974,25412,9,0,17,3,3,1,9,2,3,5,3,1,2,0,0.06
27,0,Travel_Rarely,894,Research & Development,9,3,Medical,4,0,99,3,1,Research Scientist,2,Single,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0,0.14
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,1,79,2,3,Healthcare Representative,1,Married,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0,0.04
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,1,59,2,4,Research Director,2,Divorced,14336,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,0,0.03
22,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,1,99,2,1,Laboratory Technician,3,Single,3894,9129,5,0,16,3,3,0,4,3,3,2,2,1,2,0,0.24
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,0,50,3,2,Laboratory Technician,4,Single,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0,0.16
28,1,Non-Travel,1366,Research & Development,24,2,Technical Degree,2,1,72,2,3,Healthcare Representative,1,Single,8722,12355,1,0,12,3,1,0,10,2,2,10,7,1,9,0,0.15
18,0,Travel_Rarely,812,Sales,10,3,Medical,4,0,69,2,1,Sales Representative,3,Single,1200,9724,1,0,12,3,1,0,0,2,3,0,0,0,0,1,0.81
24,0,Non-Travel,830,Sales,13,2,Life Sciences,4,0,78,3,1,Sales Representative,2,Married,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0,1,0.61
46,0,Travel_Rarely,228,Sales,3,3,Life Sciences,3,0,51,3,4,Manager,2,Married,16606,11380,8,0,12,3,4,1,23,2,4,13,12,5,1,0,0.06
24,0,Travel_Rarely,823,Research & Development,17,2,Other,4,1,94,2,1,Laboratory Technician,2,Married,2127,9100,1,0,21,4,4,1,1,2,3,1,0,0,0,1,0.52
52,0,Travel_Frequently,322,Research & Development,28,2,Medical,4,0,59,4,4,Manufacturing Director,3,Married,13247,9731,2,1,11,3,2,1,24,3,2,5,3,0,2,0,0.1
32,0,Travel_Rarely,371,Sales,19,3,Life Sciences,4,1,80,1,3,Sales Executive,3,Married,9610,3840,3,0,13,3,3,1,10,2,1,4,3,0,2,0,0.14
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,1,98,3,2,Sales Executive,4,Single,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,0.19
22,0,Travel_Rarely,1256,Research & Development,19,1,Medical,3,1,80,3,1,Research Scientist,4,Married,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0,0.17
34,0,Travel_Rarely,181,Research & Development,2,4,Medical,4,1,97,4,1,Research Scientist,4,Married,2932,5586,0,1,14,3,1,3,6,3,3,5,0,1,2,0,0.13
29,1,Travel_Rarely,896,Research & Development,18,1,Medical,3,1,86,2,1,Research Scientist,4,Single,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,0,0.38
51,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,1,81,2,3,Research Director,2,Married,12490,15736,5,0,16,3,4,2,16,5,1,10,9,4,7,0,0.05
44,1,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1,89,3,1,Laboratory Technician,1,Married,2362,14669,4,0,12,3,3,0,10,4,4,3,2,1,2,0,0.13
22,1,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,1,48,2,1,Research Scientist,4,Married,2853,4223,0,1,11,3,2,1,1,5,3,0,0,0,0,0,0.31
26,0,Travel_Rarely,1384,Research & Development,3,4,Medical,1,1,82,4,1,Laboratory Technician,4,Married,4420,13421,1,0,22,4,2,1,8,2,3,8,7,0,7,0,0.1
35,0,Travel_Rarely,185,Research & Development,23,4,Medical,2,1,91,1,1,Laboratory Technician,3,Married,2705,9696,0,0,16,3,2,1,6,2,4,5,4,0,3,0,0.06
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,1,83,2,1,Laboratory Technician,3,Single,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0,0.17
41,0,Non-Travel,256,Sales,10,2,Medical,3,1,40,1,2,Sales Executive,2,Single,6151,22074,1,0,13,3,1,0,19,4,3,19,2,11,9,0,0.16
37,1,Travel_Rarely,1141,Research & Development,11,2,Medical,1,0,61,1,2,Healthcare Representative,2,Married,4777,14382,5,0,15,3,1,0,15,2,1,1,0,0,0,0,0.44
33,0,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,0,63,2,1,Research Scientist,4,Married,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,0,0.1
31,0,Travel_Rarely,154,Sales,7,4,Life Sciences,2,1,41,2,1,Sales Representative,3,Married,2329,11737,3,0,15,3,2,0,13,2,4,7,7,5,2,0,0.16
55,0,Travel_Rarely,478,Research & Development,2,3,Medical,3,1,60,2,5,Research Director,1,Married,19038,19805,8,0,12,3,2,3,34,2,3,1,0,0,0,0,0.09
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,1,47,3,1,Laboratory Technician,4,Married,3210,20251,0,0,11,3,3,1,16,4,3,15,13,10,11,0,0.03
51,0,Travel_Frequently,541,Sales,2,3,Marketing,2,1,52,3,3,Sales Executive,2,Married,10596,15395,2,0,11,3,2,0,14,5,3,4,2,3,2,0,0.22
54,0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,4,1,85,3,4,Research Director,4,Married,17779,23474,3,0,14,3,1,0,36,2,3,10,9,0,9,0,0.03
36,0,Travel_Rarely,216,Research & Development,6,2,Medical,2,1,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0,0.07
51,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,1,51,3,5,Research Director,3,Single,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0,0.18
29,1,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,1,85,3,1,Research Scientist,3,Single,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,0,0.06
55,0,Travel_Rarely,282,Research & Development,2,2,Medical,4,0,58,1,5,Manager,3,Married,19187,6992,4,0,14,3,4,1,23,5,3,19,9,9,11,0,0.07
55,0,Travel_Frequently,135,Research & Development,18,4,Medical,3,1,62,3,2,Healthcare Representative,2,Married,6385,12992,3,1,14,3,4,2,17,3,3,8,7,6,7,0,0.12
37,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,0,59,3,3,Manufacturing Director,4,Single,7491,23848,4,0,17,3,4,0,12,3,4,6,5,1,2,0,0.05
47,1,Travel_Frequently,719,Sales,27,2,Life Sciences,2,0,77,4,2,Sales Executive,3,Single,6397,10339,4,1,12,3,4,0,8,2,3,5,4,1,3,0,0.31
50,0,Travel_Rarely,1464,Research & Development,2,4,Medical,2,1,62,3,5,Research Director,3,Married,19237,12853,2,1,11,3,4,1,29,2,2,8,1,7,7,0,0.06
52,0,Travel_Rarely,699,Research & Development,1,4,Life Sciences,3,1,65,2,5,Manager,3,Married,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0,0.02
39,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,0,48,3,1,Laboratory Technician,3,Married,3755,17872,1,0,11,3,1,1,8,3,3,8,3,0,7,0,0.05
27,0,Travel_Rarely,728,Sales,23,1,Medical,2,0,36,2,2,Sales Representative,3,Married,3540,7018,1,0,21,4,4,1,9,5,3,9,8,5,8,0,0.16
35,0,Travel_Rarely,992,Research & Development,1,3,Medical,4,1,68,2,1,Laboratory Technician,1,Single,2450,21731,1,0,19,3,2,0,3,3,3,3,0,1,2,0,0.13
37,0,Travel_Frequently,319,Sales,4,4,Marketing,1,1,41,3,1,Sales Representative,4,Divorced,2793,2539,4,0,17,3,3,1,13,2,3,9,8,5,8,0,0.1
51,0,Travel_Rarely,1169,Research & Development,7,4,Medical,2,1,34,2,2,Manufacturing Director,3,Married,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0,0.13
40,1,Travel_Rarely,299,Sales,25,4,Marketing,4,1,57,2,3,Sales Executive,2,Single,9094,17235,2,1,12,3,3,0,9,2,3,5,4,1,0,0,0.41
29,0,Travel_Frequently,490,Research & Development,10,3,Life Sciences,4,0,61,3,1,Research Scientist,2,Divorced,3291,17940,0,0,14,3,4,2,8,2,2,7,5,1,1,0,0.12
34,0,Travel_Rarely,1351,Research & Development,1,4,Life Sciences,2,1,45,3,2,Research Scientist,4,Married,5484,13008,9,0,17,3,2,1,9,3,2,2,2,2,1,0,0.06
37,0,Travel_Rarely,124,Research & Development,3,3,Other,4,0,35,3,2,Healthcare Representative,2,Single,4107,13848,3,0,15,3,1,0,8,3,2,4,3,0,1,0,0.17
24,1,Travel_Rarely,693,Sales,3,2,Life Sciences,1,0,65,3,2,Sales Executive,3,Single,4577,24785,9,0,14,3,1,0,4,3,3,2,2,2,0,0,0.29
43,0,Travel_Rarely,1034,Sales,16,3,Marketing,4,0,80,3,4,Manager,4,Married,16064,7744,5,1,22,4,3,1,22,3,3,17,13,1,9,0,0.06
45,0,Travel_Rarely,1234,Sales,11,2,Life Sciences,4,0,90,3,4,Manager,4,Married,17650,5404,3,0,13,3,2,1,26,4,4,9,3,1,1,0,0.04
31,0,Travel_Rarely,140,Research & Development,12,1,Medical,3,0,95,3,1,Research Scientist,4,Married,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0,0.15
45,0,Travel_Rarely,1457,Research & Development,7,3,Medical,1,0,83,3,1,Research Scientist,3,Married,4477,20100,4,1,19,3,3,1,7,2,2,3,2,0,2,0,0.07
47,0,Travel_Rarely,1180,Research & Development,25,3,Medical,1,1,84,3,3,Healthcare Representative,3,Single,8633,13084,2,0,23,4,2,0,25,3,3,17,14,12,11,0,0.09
31,0,Travel_Rarely,196,Sales,29,4,Marketing,1,0,91,2,2,Sales Executive,4,Married,5468,13402,1,0,14,3,1,2,13,3,3,12,7,5,7,0,0.13
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,0,58,3,2,Laboratory Technician,4,Single,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,0.08
53,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,3,0,78,2,3,Manufacturing Director,4,Married,10169,14618,0,0,16,3,2,1,34,4,3,33,7,1,9,0,0.04
56,0,Travel_Rarely,1443,Sales,11,5,Marketing,4,0,89,2,2,Sales Executive,1,Married,5380,20328,4,0,16,3,3,1,6,3,3,0,0,0,0,0,0.15
34,0,Travel_Rarely,546,Research & Development,10,3,Life Sciences,2,1,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0,0,0.41
46,0,Travel_Rarely,1277,Sales,2,3,Life Sciences,3,1,74,3,3,Sales Executive,4,Divorced,10368,5596,4,1,12,3,2,1,13,5,2,10,6,0,3,0,0.13
41,1,Non-Travel,906,Research & Development,5,2,Life Sciences,1,1,95,2,1,Research Scientist,1,Divorced,2107,20293,6,0,17,3,1,1,5,2,1,1,0,0,0,0,0.18
41,0,Travel_Rarely,582,Research & Development,28,4,Life Sciences,1,0,60,2,4,Manufacturing Director,2,Married,13570,5640,0,0,23,4,3,1,21,3,3,20,7,0,10,0,0.07
19,1,Travel_Rarely,419,Sales,21,3,Other,4,1,37,2,1,Sales Representative,2,Single,2121,9947,1,1,13,3,2,0,1,3,4,1,0,0,0,1,0.82
39,0,Non-Travel,1251,Sales,21,4,Life Sciences,1,0,32,1,2,Sales Executive,3,Married,5736,3987,6,0,19,3,3,1,10,1,3,3,2,1,2,0,0.08
38,0,Travel_Frequently,1391,Research & Development,10,1,Medical,3,1,66,3,1,Research Scientist,3,Married,2684,12127,0,0,17,3,2,1,3,0,2,2,1,0,2,0,0.08
29,0,Travel_Rarely,1090,Sales,10,3,Marketing,4,1,83,3,1,Sales Representative,2,Divorced,2297,17967,1,0,14,3,4,2,2,2,3,2,2,2,2,0,0.23
48,0,Travel_Rarely,163,Sales,2,5,Marketing,2,0,37,3,2,Sales Executive,4,Married,4051,19658,2,0,14,3,1,1,14,2,3,9,7,6,7,0,0.05
44,0,Travel_Rarely,200,Research & Development,29,4,Other,4,1,32,3,2,Research Scientist,4,Single,4541,7744,1,0,25,4,2,0,20,3,3,20,11,13,17,0,0.13
41,0,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,1,36,3,2,Research Scientist,1,Divorced,3072,19877,2,0,16,3,1,2,17,2,2,1,0,0,0,0,0.18
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,0,99,3,3,Sales Executive,1,Single,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,0.2
27,0,Travel_Rarely,1130,Sales,8,4,Marketing,2,0,56,3,2,Sales Executive,2,Married,6214,3415,1,0,18,3,1,1,8,3,3,8,7,0,7,0,0.08
38,0,Non-Travel,1336,Human Resources,2,3,Human Resources,1,1,100,3,1,Human Resources,2,Divorced,2592,7129,5,0,13,3,4,3,13,3,3,11,10,3,8,0,0.12
46,0,Travel_Rarely,430,Research & Development,1,4,Medical,4,1,40,3,5,Research Director,4,Divorced,19627,21445,9,0,17,3,4,2,23,0,3,2,2,2,2,0,0.12
42,0,Travel_Rarely,933,Research & Development,29,3,Life Sciences,2,1,98,3,2,Manufacturing Director,2,Married,4434,11806,1,0,13,3,4,1,10,3,2,9,8,7,8,0,0.07
49,0,Travel_Rarely,464,Research & Development,16,3,Medical,4,0,74,3,1,Laboratory Technician,1,Divorced,2587,24941,4,1,16,3,2,1,17,2,2,2,2,2,2,0,0.17
